CIK,Name,Year,Accounts payable,Accrued liabilities,Additional Paid-in capital,"Common stock, par value",Current liabilities,Government and agency securities obligations,Income tax payable,Long-term borrowing,Other equity,Other liabilities,Payable to Broker/Dealers,Payable to customers and counterparties,Payable to parent and affiliates,Repurchase Agreements (repo),Retained (Accumulated) earnings,Securities borrowed,Securities sold short,Short-term borrowing,Subordinated liabilities,Total liabilities,Total liabilities and shareholder's equity,Total shareholder's equity,Treasury stock
68136,MORGAN STANLEY & CO. LLC ,2009,938310.0,4720452.0,4028024.0,20025.0,,25613675.0,15627.0,,,93674274.0,16697403.0,107705801.0,,127642426.0,1696267.0,,,,14625000.0,277037343.0,297422286.0,5759943.0,
68136,MORGAN STANLEY & CO. LLC ,2010,882896.0,4124696.0,,25.0,,56855988.0,-438.095,,,85133735.0,16745091.0,99110439.0,,239437157.0,3760705.0,,29500843.0,,9525000.0,395237551.0,413032207.0,8269656.0,
68136,MORGAN STANLEY & CO. LLC ,2011,578450.0,1845445.0,4943077.0,25.0,,67826352.0,,,,74585760.0,15620800.0,102182523.0,,180617388.0,5200509.0,,37759983.0,,10025000.0,352810071.0,372537340.0,19397038.0,
68136,MORGAN STANLEY & CO. LLC ,2012,562769.0,13810315.0,,,,81593311.0,,,,61950507.0,14915967.0,85189470.0,,173507946.0,,,32850811.0,,10025000.0,332970945.0,352293126.0,28099578.0,
68136,MORGAN STANLEY & CO. LLC ,2013,674053.0,,,,,84384113.0,,,,61390872.0,8068093.0,84731644.0,,189734428.0,,,34047352.0,,10025000.0,346942685.0,369066424.0,36755087.0,
68136,MORGAN STANLEY & CO. LLC ,2014,576.0,,,,,,,,,41581.0,9094.0,98799.0,,178078.0,,,26610.0,,10000.0,351045.0,367496.0,19827.0,
68136,MORGAN STANLEY & CO. LLC ,2015,796.0,,,,,,,,,42450.0,7305.0,117946.0,,140298.0,,,25906.0,,10000.0,331231.0,345134.0,8239.0,
68136,MORGAN STANLEY & CO. LLC ,2016,714.0,,,,,,,,,35612.0,6011.0,119138.0,,98534.0,,,28574.0,,11300.0,284402.0,301341.0,11595.0,
68136,MORGAN STANLEY & CO. LLC ,2017,826.0,8443.0,,,,,,4332.0,,23667.0,8518.0,132596.0,,107621.0,,,20647.0,4.0,11300.0,291443.0,308038.0,11021.0,
68136,MORGAN STANLEY & CO. LLC ,2018,943.0,3757.0,,,,,,6731.0,,27993.0,13442.0,140347.0,,99019.0,,,23899.0,,11300.0,288649.0,305281.0,11232.0,
68136,MORGAN STANLEY & CO. LLC ,2019,1044.0,3637.0,,,,,,,,20962.0,10949.0,135245.0,,96689.0,,,24704.0,8171.0,13300.0,282485.0,303806.0,16573.0,
72267,"NOMURA SECURITIES INTERNATIONAL, INC. ",2003,163602.0,,,,2781603.0,10213012.0,,,,1758873.0,1098360.0,347485.0,,52212108.0,,,,87891.0,1100000.0,57292974.0,57702809.0,7508624.0,
72267,"NOMURA SECURITIES INTERNATIONAL, INC. ",2004,3194276.0,,750000.0,,,9001826.0,,,,2731523.0,2085912.0,293988.0,,56739075.0,,,,4824.0,1450000.0,62018809.0,63951218.0,9495991.0,
72267,"NOMURA SECURITIES INTERNATIONAL, INC. ",2005,537214.0,,800000.0,,,,,,,-154077.0,3847885.0,389848.0,,70946628.0,,,2562372.0,8284.0,1500000.0,76906488.0,78732111.0,325623.0,
72267,"NOMURA SECURITIES INTERNATIONAL, INC. ",2006,246894.0,,920000.0,,,,,,,4574261.0,1702944.0,89712.0,,66136240.0,,,,28217.0,1950000.0,73945334.0,74182935.0,237601.0,
72267,"NOMURA SECURITIES INTERNATIONAL, INC. ",2007,291121.0,,920000.0,,,,,,,5071435.0,1585721.0,187689.0,,78374420.0,,,,,1550000.0,87485932.0,87542832.0,56900.0,
