,CIK NUMBER,COMPANY NAME,REPORTING FILE NUMBER,ADDRESS1,ADDRESS2,CITY,STATE CODE,ZIP CODE
159,71088,"NESTLERODE & LOY, INC.",812629,P.O. BOX 343, ,STATE COLLEGE,PA,16804-0343
160,71110,NEUBERGER BERMAN BD LLC,801068,1290 AVENUE OF THE AMERICAS, ,NEW YORK,NY,10104
161,71260,ROTHSCHILD & CO US INC.,813852,1251 AVENUE OF THE AMERICAS, ,NEW YORK,NY,10020
162,71637,NYLIFE SECURITIES LLC,815517,51 MADISON AVENUE,ROOM 713,NEW YORK,NY,10010
163,72174,"NORTHWESTERN MUTUAL INVESTMENT SERVICES, LLC",814088,720 EAST WISCONSIN AVENUE, ,MILWAUKEE,WI,53202-4797
164,72267,"NOMURA SECURITIES INTERNATIONAL, INC.",815255,"WORLDWIDE PLAZA, 309 WEST 49TH STREET", ,NEW YORK,NY,10019
165,73217,"SANCTUARY SECURITIES, INC.",822752,"250 W., 96TH ST.",#300,INDIANAPOLIS,IN,46260-1329
166,73387,"NUVEEN SECURITIES, LLC",813464,333 WEST WACKER DRIVE, ,CHICAGO,IL,60606-1286
167,73520,"VOYA FINANCIAL ADVISORS, INC.",813987,699 WALNUT STREET,SUITE 1000,DES MOINES,IA,50309
168,73956,"FIFTH THIRD SECURITIES, INC.",802428,38 FOUNTAIN SQUARE PLAZA,MD 10GA3B,CINCINNATI,OH,45263
169,73979,THE O.N. EQUITY SALES COMPANY,814161,P.O. BOX 371, ,CINCINNATI,OH,45201-0371
170,74597,O'NEIL SECURITIES INCORPORATED,811763,"211 CONGRESS STREET, 5TH FLOOR",SUITE B,BOSTON,MA,02110
171,74654,CIBC WORLD MARKETS CORP.,818333,425 LEXINGTON AVENUE,425 LEXINGTON AVENUE - 3RD FLOOR,NEW YORK,NY,10017
172,75120,"O'TOOLE, HENRY J.",815522,14-30 COLLEGE POINT BLVD, ,COLLEGE POINT,NY,11356
173,75473,"PACIFIC SELECT DISTRIBUTORS, LLC",815264,700 NEWPORT CENTER DRIVE, ,NEWPORT BEACH,CA,92660-6397
174,76375,BILL PARKER AGENCY,820744,4528 MILLRACE RD., ,SACRAMENTO,CA,95864
175,76886,NATIONWIDE INVESTMENT SERVICES CORPORATION,820254,ONE NATIONWIDE PLAZA,1-33-401,COLUMBUS,OH,43215
176,76964,"AMERICAN TRUST INVESTMENT SERVICES, INC.",814394,1244 119TH STREET, ,WHITING,IN,46394-1003
177,77131,"HORNOR, TOWNSEND & KENT, LLC",814715,600 DRESHER RD,STE C1C,HORSHAM,PA,19044
178,78017,PFLUEGER & BAERWALD INC.,817615,220 SANSOME STREET,SUITE 1090,SAN FRANCISCO,CA,94104-2725
179,78027,"FBL MARKETING SERVICES, LLC",815855,5400 UNIVERSITY AVENUE, ,WEST DES MOINES,IA,50266
180,78272,VP DISTRIBUTORS LLC,814100,ONE FINANCIAL PLAZA,4TH FLOOR,HARTFORD,CT,06103
181,78981,"PLANNED FINANCIAL PROGRAMS, INC.",805727,734 WALT WHITMAN ROAD, ,MELVILLE,NY,11747-2216
182,79145,"AMERICAN CENTURY INVESTMENT SERVICES, INC.",835220,P.O. BOX 410141, ,KANSAS CITY,MO,64141-0141
183,80386,LPL FINANCIAL LLC,817668,1055 LPL WAY, ,FORT MILL,SC,29715
184,80887,"PRUCO SECURITIES, LLC.",816402,751 BROAD STREET, ,NEWARK,NJ,07102-3777
185,81254,PUTNAM RETAIL MANAGEMENT LIMITED PARTNERSHIP,801369,100 FEDERAL STREET, ,BOSTON,MA,02110
186,81546,"QUINCY CASS ASSOCIATES, INCORPORATED",805743,11111 SANTA MONICA BLVD.,SUITE 1650,LOS ANGELES,CA,90025
187,81567,A.G. QUINTAL INVESTMENT COMPANY INC.,811684,2177 ACUSHNET AVE., ,NEW BEDFORD,MA,02745-6316
188,81909,"SAMUEL A. RAMIREZ & COMPANY, INC.",819014,61 BROADWAY 29 TH FLOOR, ,NEW YORK,NY,10006
189,82282,AON SECURITIES LLC,814953,200 EAST RANDOLPH STREET,11TH FLOOR,CHICAGO,IL,60601
190,83809,"VANDERBILT SECURITIES, LLC",816712,125 FROEHLICH FARM BLVD., ,WOODBURY,NY,11797
191,84461,"ROBINSON & ROBINSON, INC.",817109,1337 HAMILTON STREET, ,ALLENTOWN,PA,18102
192,84935,"ROOSEVELT & CROSS, INCORPORATED",819363,ONE EXCHANGE PLAZA,55 BROADWAY,NEW YORK,NY,10006
193,84940,"HORANG ROOSEVELT ADVISORS, LLC",816608,160 RIVERSIDE BLVD,#33D,NEW YORK,NY,10069
194,85338,ROTHSCHILD INVESTMENT CORPORATION,816429,311 S. WACKER DRIVE,SUITE 6500,CHICAGO,IL,60606-6618
195,85816,"RUSSELL INVESTMENTS IMPLEMENTATION SERVICES, LLC",800220,"1301 SECOND AVENUE, 18TH FLOOR", ,SEATTLE,WA,98101
196,86110,"SYMETRA SECURITIES, INC.",813470,"777 108TH AVE NE, SUITE 1200", ,BELLEVUE,WA,98004-5135
197,86172,"SAGE, RUTTY & CO., INC.",800533,100 CORPORATE WOODS,SUITE 300,ROCHESTER,NY,14623
198,87634,"CHARLES SCHWAB & CO., INC.",816514,211 MAIN STREET,SF211MN-08-330,SAN FRANCISCO,CA,94105
199,88436,"SECURITIES MANAGEMENT AND RESEARCH, INC.",812745,P.O. BOX 11606, ,CEDAR RAPIDS,IA,52410-1606
200,89009,"SENTRY EQUITY SERVICES, INC.",815078,1800 NORTH POINT DRIVE, ,STEVENS POINT,WI,54481
201,90087,"MURIEL SIEBERT & CO., INC.",814900,120 WALL STREET,25TH FLOOR,NEW YORK,NY,10005
202,90108,"RICHARDS, MERRILL & PETERSON, INC.",800071,422 WEST RIVERSIDE AVE,US BANK BLDG ONE SKYWALK,SPOKANE,WA,99201
203,90608,"HERBERT J. SIMS & CO, INC.",803315,2150 POST ROAD,SUITE 301,FAIRFIELD,CT,06824
204,91154,CITIGROUP GLOBAL MARKETS INC.,808177,REGISTRATION DEPARTMENT,540 CROSSPOINT PARKWAY,GETZVILLE,NY,14068
205,91961,SOUTH TEXAS SECURITIES CO.,818148,PO BOX 79626, ,HOUSTON,TX,77279
206,92407,KINETICS FUNDS DISTRIBUTOR LLC,813923,470 PARK AVENUE SOUTH,8TH FLOOR,NEW YORK,NY,10016
207,94074,STEPHENS INC.,801927,111 CENTER STREET, ,LITTLE ROCK,AR,72201-3507
208,94145,"STERLING, GRACE MUNICIPAL SECURITIES CORPORATION",820003,100 SUMMERHILL ROAD, ,SPOTSWOOD,NJ,08884
209,94403,"STIFEL, NICOLAUS & COMPANY, INCORPORATED",801447,501 NORTH BROADWAY, ,ST. LOUIS,MO,63102
210,94536,"STOCKCROSS FINANCIAL SERVICES, INC.",817758,9464 WILSHIRE BOULEVARD, ,BEVERLY HILLS,CA,90212
211,94564,"STOEVER,GLASS & COMPANY INC.",819273,30 WALL STREET, ,NEW YORK,NY,10005
212,94645,"STONEGATE CAPITAL MARKETS, INC.",817359,8201 PRESTON ROAD,SUITE 325,DALLAS,TX,75225
