#ID_RSSD,NM_LGL,PRIM_FED_REG,CHTR_TYPE_CD,ORG_TYPE_CD,ENTITY_TYPE,CITY,STATE_ABBR_NM,CNTRY_NM,ID_TAX,ID_LEI,CIK,#ID_RSSD_PREDECESSOR,ID_RSSD_SUCCESSOR,TRNSFM_CD,SUCCESSOR_NM_LGL
73189,WEST PENN P & P FEDERAL CREDIT UNION,NCUA,Credit Union (excluding Corporate Credit Union),Mutual,Federal Credit Union,BEAVER,PA,UNITED STATES                           ,251066974,0,105839,343181,73189,Charter Discontinued (Merger or Purchase & Assumption),WEST PENN P & P FEDERAL CREDIT UNION                                                                                    
61122,FIRST UNITED BANK & TRUST,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,OAKLAND,MD,UNITED STATES                           ,520312890,0,1214183,17923,61122,Charter Discontinued (Merger or Purchase & Assumption),FIRST UNITED BANK & TRUST                                                                                               
61122,FIRST UNITED BANK & TRUST,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,OAKLAND,MD,UNITED STATES                           ,520312890,0,1214183,44424,61122,Charter Discontinued (Merger or Purchase & Assumption),FIRST UNITED BANK & TRUST                                                                                               
61122,FIRST UNITED BANK & TRUST,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,OAKLAND,MD,UNITED STATES                           ,520312890,0,1214183,340724,61122,Charter Discontinued (Merger or Purchase & Assumption),FIRST UNITED BANK & TRUST                                                                                               
61122,FIRST UNITED BANK & TRUST,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,OAKLAND,MD,UNITED STATES                           ,520312890,0,1214183,755926,61122,Charter Discontinued (Merger or Purchase & Assumption),FIRST UNITED BANK & TRUST                                                                                               
61122,FIRST UNITED BANK & TRUST,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,OAKLAND,MD,UNITED STATES                           ,520312890,0,1214183,830337,61122,Charter Discontinued (Merger or Purchase & Assumption),FIRST UNITED BANK & TRUST                                                                                               
61122,FIRST UNITED BANK & TRUST,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,OAKLAND,MD,UNITED STATES                           ,520312890,0,1214183,895420,61122,Charter Discontinued (Merger or Purchase & Assumption),FIRST UNITED BANK & TRUST                                                                                               
61355,CORTRUST BANK NATIONAL ASSOCIATION,OCC,Commercial Bank,Corporation (stock),National Bank,MITCHELL,SD,UNITED STATES                           ,460159100,2138004QPZ7FMGPTU106,1126623,75053,61355,Charter Discontinued (Merger or Purchase & Assumption),CORTRUST BANK NATIONAL ASSOCIATION                                                                                      
61355,CORTRUST BANK NATIONAL ASSOCIATION,OCC,Commercial Bank,Corporation (stock),National Bank,MITCHELL,SD,UNITED STATES                           ,460159100,2138004QPZ7FMGPTU106,1126623,283858,61355,Charter Discontinued (Merger or Purchase & Assumption),CORTRUST BANK NATIONAL ASSOCIATION                                                                                      
61355,CORTRUST BANK NATIONAL ASSOCIATION,OCC,Commercial Bank,Corporation (stock),National Bank,MITCHELL,SD,UNITED STATES                           ,460159100,2138004QPZ7FMGPTU106,1126623,310352,61355,Charter Discontinued (Merger or Purchase & Assumption),CORTRUST BANK NATIONAL ASSOCIATION                                                                                      
61355,CORTRUST BANK NATIONAL ASSOCIATION,OCC,Commercial Bank,Corporation (stock),National Bank,MITCHELL,SD,UNITED STATES                           ,460159100,2138004QPZ7FMGPTU106,1126623,334255,61355,Charter Discontinued (Merger or Purchase & Assumption),CORTRUST BANK NATIONAL ASSOCIATION                                                                                      
61355,CORTRUST BANK NATIONAL ASSOCIATION,OCC,Commercial Bank,Corporation (stock),National Bank,MITCHELL,SD,UNITED STATES                           ,460159100,2138004QPZ7FMGPTU106,1126623,405753,61355,Charter Discontinued (Merger or Purchase & Assumption),CORTRUST BANK NATIONAL ASSOCIATION                                                                                      
61355,CORTRUST BANK NATIONAL ASSOCIATION,OCC,Commercial Bank,Corporation (stock),National Bank,MITCHELL,SD,UNITED STATES                           ,460159100,2138004QPZ7FMGPTU106,1126623,534550,61355,Charter Discontinued (Merger or Purchase & Assumption),CORTRUST BANK NATIONAL ASSOCIATION                                                                                      
61355,CORTRUST BANK NATIONAL ASSOCIATION,OCC,Commercial Bank,Corporation (stock),National Bank,MITCHELL,SD,UNITED STATES                           ,460159100,2138004QPZ7FMGPTU106,1126623,1128808,61355,Charter Discontinued (Merger or Purchase & Assumption),CORTRUST BANK NATIONAL ASSOCIATION                                                                                      
61355,CORTRUST BANK NATIONAL ASSOCIATION,OCC,Commercial Bank,Corporation (stock),National Bank,MITCHELL,SD,UNITED STATES                           ,460159100,2138004QPZ7FMGPTU106,1126623,3273823,61355,"Failure, Government Assistance Provided",CORTRUST BANK NATIONAL ASSOCIATION                                                                                      
61476,ABINGTON BANK,FRS,Cooperative Bank,Corporation (stock),State Member Bank,ABINGTON,MA,UNITED STATES                           ,41728400,549300FR7PGHS5RN4G56,1425916,117672,61476,Charter Discontinued (Merger or Purchase & Assumption),ABINGTON BANK                                                                                                           
34742,FIRST WESTERN BANK,FRS,Commercial Bank,Corporation (stock),State Member Bank,BOONEVILLE,AR,UNITED STATES                           ,710031220,54930013SG5BXUL3G429,1158266,1878970,34742,Charter Discontinued (Merger or Purchase & Assumption),FIRST WESTERN BANK                                                                                                      
37435,UNITED BANK,FDIC,Commercial Bank,Corporation (stock),Non-member Bank,ZEBULON,GA,UNITED STATES                           ,580153300,0,1286478,34836,37435,"Failure, Government Assistance Provided",UNITED BANK                                                                                                             
