#ID_RSSD,CIK,NM_LGL
1380455,73956,"FIFTH THIRD SECURITIES, INC."
1380156,894381,HUNTINGTON CAPITAL CORP.
1383036,61008,"LYNCH, JONES & RYAN"
1352014,278307,JAMES BAKER & COMPANY
1385432,785823,"NATCITY INVESTMENTS, INC."
1385759,784947,ALLFIRST BROKERAGE CORPORATION
1440564,815846,MERRILL LYNCH GOVERNMENT SECURITIES INC.
1389207,786393,"U.S. BANCORP INVESTMENTS, INC."
1441329,856522,CHASE INVESTMENT SERVICES CORP.
1390155,1338177,WASHINGTON ANALYSIS CORPORATION
1362705,785610,"SOUTHTRUST SECURITIES, LLC"
1482313,837922,"BANC ONE CAPITAL MARKETS, INC."
1448216,772028,HARRIS NESBITT CORP.
1462089,318336,CREDIT SUISSE FIRST BOSTON CORPORATION
1575185,85914,PORTIGON SECURITIES INC.
1468876,805043,"FIRST CITIZENS FINANCIAL PLUS, INC."
1609651,746704,DG EUROPEAN SECURITIES CORPORATION
1582950,9120,JULIUS BAER SECURITIES INC.
1516964,95896,SWISS AMERICAN SECURITIES INC.
1650185,755925,BNY CLEARING SERVICES LLC
1659405,61008,"LYNCH, JONES & RYAN, INC."
1662991,845791,CITICORP INVESTMENT SERVICES
1663569,29617,RBC CAPITAL MARKETS CORPORATION
1664810,840396,NEWEDGE FINANCIAL INC.
1823907,860220,BANC OF AMERICA SECURITIES LLC
1670240,857484,CAPITAL ONE INVESTMENT SERVICES LLC
1825572,796559,BNY ASSOCIATES INCORPORATED
1758858,48966,SG COWEN SECURITIES CORPORATION
1902062,858574,FIRST NATIONAL INVESTMENTS
1835405,920298,"NEWEDGE USA, LLC"
1932247,883387,"TRUSTMARK SECURITIES, INC."
1966550,1045960,CORNERSTONE VENTURES
1893562,318790,"CAPITAL FINANCIAL SERVICES, INC."
1979484,741525,WILMINGTON BROKERAGE SERVICES COMPANY
1968415,1093916,MULTIPLE FINANCIAL SERVICES
1983548,890427,"FIDELITY NATIONAL CAPITAL INVESTORS, INC."
2006501,801330,"HELLER CAPITAL MARKETS GROUP, INC."
1948239,754542,ABN AMRO INCORPORATED
2009771,716814,UST SECURITIES CORP.
1977631,777947,"BROADWAY BROKERAGE SERVICES, INC"
1988347,20502,"ASSOCIATED INVESTMENT SERVICES, INC."
2019752,891052,"MIDWEST FINANCIAL AND INVESTMENT SERVICES, INC."
2222338,1074463,"COMMUNITY INVESTMENT SERVICES, INC."
2187222,900875,"DELTA DIVIDEND GROUP, INC."
2250519,33246,"SUNTRUST CAPITAL MARKETS, INC."
2136109,868436,"FIRST BUSEY SECURITIES, INC."
2178592,898913,"ONB INVESTMENT SERVICES, INC."
2181051,867626,"MITSUBISHI SECURITIES (USA), INC."
2156246,352018,"MUFG AMERICAS CORPORATE ADVISORY, INC."
2330046,835443,COMERICA CAPITAL MARKETS CORPORATION
2208471,69440,MUTUAL SERVICE CORPORATION
2261485,927341,UST FINANCIAL SERVICES CORP.
2333805,890530,UNION FINANCIAL CORP.
2291811,886078,"BNP PARIBAS BROKERAGE SERVICES, INC."
2386762,824362,KOKUSAI AMERICA INCORPORATED
2293981,898913,"ONB INVESTMENT SERVICES, INC."
2295127,948037,"BLACKROCK INVESTMENTS, LLC"
2407676,1071392,"BACAP DISTRIBUTORS, LLC"
2408440,36851,"LEGG MASON WOOD WALKER, INCORPORATED"
2408374,716814,UST SECURITIES CORP
2378338,7470,NATIXIS BLEICHROEDER INC.
2381431,917379,DBS VICKERS SECURITIES (USA) INC.
2381815,890203,DAEWOO SECURITIES (AMERICA) INC.
2455716,1001991,NATIONAL INVESTOR SERVICES CORP.
2441670,874362,J.P. MORGAN CLEARING CORP.
2559575,914859,PFIC SECURITIES CORPORATION
2560982,1018442,"GREATER COMMUNITY FINANCIAL, L.L.C."
2481836,500734,"SUMMIT EQUITIES, INC."
2506850,1027590,"GA FINANCIAL, INC."
2531861,55603,"GLOBAL ALTERNATIVE INVESTMENT SERVICES, INC."
